SchoolName,Location,GlobalRanking,GlobalScores,SubjectName,SubjectRanking,SubjectScores
Peking University,Beijing,53,74.6,Biology and Biochemistry,50,59.4
Peking University,Beijing,53,74.6,Chemistry,10,87
Peking University,Beijing,53,74.6,Clinical Medicine,100,56.7
Peking University,Beijing,53,74.6,Computer Science,42,70
Peking University,Beijing,53,74.6,Economics and Business,73,47.4
Peking University,Beijing,53,74.6,Engineering,19,81.6
Peking University,Beijing,53,74.6,Environment/Ecology,32,77
Peking University,Beijing,53,74.6,Geosciences,17,81
Peking University,Beijing,53,74.6,Immunology,173,34.4
Peking University,Beijing,53,74.6,Materials Science,10,88.3
Peking University,Beijing,53,74.6,Mathematics,21,81.8
Peking University,Beijing,53,74.6,Microbiology,153,38.5
Peking University,Beijing,53,74.6,Molecular Biology and Genetics,67,48
Peking University,Beijing,53,74.6,Neuroscience and Behavior,129,36.5
Peking University,Beijing,53,74.6,Pharmacology and Toxicology,21,74
Peking University,Beijing,53,74.6,Physics,13,84.4
Peking University,Beijing,53,74.6,Plant and Animal Science,51,79.4
Peking University,Beijing,53,74.6,Psychiatry/Psychology,164,33.1
Peking University,Beijing,53,74.6,Social Sciences and Public Health,75,58
Peking University,Beijing,53,74.6,Space Science,76,56
Tsinghua University,Beijing,57,73.9,Biology and Biochemistry,51,59.1
Tsinghua University,Beijing,57,73.9,Chemistry,6,90.2
Tsinghua University,Beijing,57,73.9,Computer Science,2,98.2
Tsinghua University,Beijing,57,73.9,Economics and Business,100,40.7
Tsinghua University,Beijing,57,73.9,Engineering,1,100
Tsinghua University,Beijing,57,73.9,Environment/Ecology,66,67.3
Tsinghua University,Beijing,57,73.9,Geosciences,62,63.5
Tsinghua University,Beijing,57,73.9,Materials Science,8,91.2
Tsinghua University,Beijing,57,73.9,Mathematics,41,74.2
Tsinghua University,Beijing,57,73.9,Molecular Biology and Genetics,87,44.5
Tsinghua University,Beijing,57,73.9,Physics,24,80.8
Tsinghua University,Beijing,57,73.9,Social Sciences and Public Health,165,47.7
Tsinghua University,Beijing,57,73.9,Space Science,160,35.5
Fudan University,Shanghai,121,67.4,Biology and Biochemistry,79,55
Fudan University,Shanghai,121,67.4,Chemistry,20,82.2
Fudan University,Shanghai,121,67.4,Clinical Medicine,124,54.6
Fudan University,Shanghai,121,67.4,Computer Science,137,50.8
Fudan University,Shanghai,121,67.4,Economics and Business,141,31.2
Fudan University,Shanghai,121,67.4,Engineering,144,59.6
Fudan University,Shanghai,121,67.4,Environment/Ecology,148,51.6
Fudan University,Shanghai,121,67.4,Immunology,140,40.1
Fudan University,Shanghai,121,67.4,Materials Science,3,95.7
Fudan University,Shanghai,121,67.4,Mathematics,20,82.5
Fudan University,Shanghai,121,67.4,Microbiology,114,44.4
Fudan University,Shanghai,121,67.4,Molecular Biology and Genetics,74,46.5
Fudan University,Shanghai,121,67.4,Neuroscience and Behavior,156,30.5
Fudan University,Shanghai,121,67.4,Pharmacology and Toxicology,20,74.2
Fudan University,Shanghai,121,67.4,Physics,144,65.2
Fudan University,Shanghai,121,67.4,Plant and Animal Science,133,66.2
Fudan University,Shanghai,121,67.4,Social Sciences and Public Health,182,45.6
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Biology and Biochemistry,201,41.4
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Chemistry,21,82.1
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Computer Science,59,66
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Engineering,29,78
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Geosciences,133,49.8
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Materials Science,20,81.3
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Mathematics,98,59.3
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Physics,23,81.4
University of Science and Technology of China,"Hefei, Anhui",136,66.5,Space Science,133,43.5
Shanghai Jiao Tong University,Shanghai,138,66.3,Agricultural Sciences,98,60.4
Shanghai Jiao Tong University,Shanghai,138,66.3,Biology and Biochemistry,68,56.5
Shanghai Jiao Tong University,Shanghai,138,66.3,Chemistry,47,68.9
